team,year,oast_dast,fgp,ftp,tpp,win_ratio,num_allstar,avg_age,result,is_champ
WA1,1980,1.0441747572815534,0.47212983903152855,0.7234555984555985,0.2697095435684647,0.47560975609756095,0,28.445348837209306,Non-Playoff Team,N
ATL,1981,0.9700694815606627,0.4737308146399056,0.7679095098449937,0.21875,0.5121951219512195,0,26.526861167002018,Playoff Team,N
BOS,1981,1.0780933062880325,0.4986364875920371,0.7395197395197395,0.266304347826087,0.7682926829268293,3,27.04812942366026,Playoff Team,N
CHI,1981,1.0,0.5007431629013079,0.7666011787819254,0.2535211267605634,0.4146341463414634,1,26.28405432595574,Non-Playoff Team,N
CLE,1981,0.8626094974642693,0.4642759749113717,0.7471317117944011,0.18248175182481752,0.18292682926829268,0,26.26258020043481,Non-Playoff Team,N
DAL,1981,1.0670362903225807,0.4692691029900332,0.73541842772612,0.2894736842105263,0.34146341463414637,0,24.435377597567154,Non-Playoff Team,N
DEN,1981,0.9030206677265501,0.5198537095088819,0.7961719274680994,0.2684563758389262,0.5609756097560976,1,26.72420574886536,Playoff Team,N
DET,1981,0.925148334094021,0.48180219185495876,0.7508717551336691,0.24413145539906103,0.47560975609756095,2,24.412405446293494,Non-Playoff Team,N
GSW,1981,0.8754208754208754,0.4961219213498435,0.7174643157010915,0.28,0.5487804878048781,1,25.295983209934125,Non-Playoff Team,N
HOU,1981,0.9290413533834586,0.4756991582948683,0.7289887640449438,0.2840909090909091,0.5609756097560976,1,28.217542972699693,Playoff Team,N
IND,1981,0.9240136385776911,0.4651032942490229,0.7408088235294118,0.3259493670886076,0.4268292682926829,0,27.043066457352168,Non-Playoff Team,N
KCK,1981,1.1095520777118186,0.49478308621636463,0.7187210379981465,0.2,0.36585365853658536,0,24.32934516166686,Non-Playoff Team,N
LAL,1981,1.0159551530832256,0.5166776532630191,0.7167977788061083,0.13829787234042554,0.6951219512195121,3,26.751548728280028,Champion,Y
MIL,1981,1.1076388888888888,0.5052031361368496,0.7526835551738944,0.29878048780487804,0.6707317073170732,2,27.312143398131788,Playoff Team,N
NJN,1981,1.0854479544277575,0.48443337484433374,0.7281223449447749,0.2054794520547945,0.5365853658536586,1,25.14908998988878,Playoff Team,N
NYK,1981,0.9932982288176161,0.49080523822791866,0.7383694150161216,0.27102803738317754,0.4024390243902439,0,28.003276539973786,Non-Playoff Team,N
PHI,1981,1.1521628498727736,0.5184972755950674,0.7470659651962768,0.2949640287769784,0.7073170731707317,2,28.086577688239736,Playoff Team,N
PHO,1981,1.1405849153412007,0.49131652661064423,0.7579972183588317,0.3103448275862069,0.5609756097560976,1,26.364851235501764,Playoff Team,N
POR,1981,0.9716177861873226,0.5049394740503688,0.7201508169250105,0.20714285714285716,0.5121951219512195,0,24.420728008088982,Non-Playoff Team,N
SAS,1981,1.1085461689587426,0.48574806252462893,0.776017130620985,0.25396825396825395,0.5853658536585366,1,25.312372778786376,Playoff Team,N
SDC,1981,0.8821042743071865,0.5002112378538234,0.7231952157197779,0.29289940828402367,0.2073170731707317,0,25.41361680587193,Non-Playoff Team,N
SEA,1981,1.0546639919759278,0.4882975759264419,0.7396274343776461,0.24836601307189543,0.6341463414634146,3,26.446646495209276,Playoff Team,N
